notice_id_a,notice_id_b,jaccard
N000009,N002893,0.23670212765957446
N000009,N002915,0.21693121693121692
N000009,N003527,0.21693121693121692
N000009,N003850,0.2644628099173554
N000009,N003987,0.21485411140583555
N000009,N004009,0.11187845303867404
N000009,N004017,0.24258760107816713
N000009,N004094,0.22641509433962265
N000009,N004249,0.10067873303167421
N000009,N004250,0.09642470205850487
N000009,N004251,0.1012514220705347
N000009,N004365,0.206266318537859
N000009,N004681,0.12957317073170732
N000009,N004931,0.2020997375328084
N000009,N004980,0.19791666666666666
N000009,N004981,0.203125
N000009,N005164,0.2328042328042328
N000009,N005206,0.13408723747980614
N000009,N005683,0.12876254180602006
N000009,N005790,0.2020997375328084
N000009,N005982,0.15161290322580645
N000009,N006204,0.13902053712480253
N000009,N006455,0.20588235294117646
N000009,N006465,0.12452350698856417
N000009,N006513,0.2210242587601078
N000009,N006516,0.2222222222222222
N000009,N006750,0.2152230971128609
N000009,N007032,0.11578947368421053
N000009,N007240,0.2398921832884097
N000009,N007537,0.1443932411674347
N000009,N007539,0.13544668587896252
N000009,N007540,0.13623188405797101
N000009,N007784,0.26256983240223464
N000009,N007821,0.21693121693121692
N000009,N008518,0.22010869565217392
N000009,N008575,0.24661246612466126
N000009,N008646,0.13262599469496023
N000009,N008647,0.13280212483399734
N000009,N008649,0.1392757660167131
N000009,N008733,0.20052083333333334
N000009,N008775,0.14126984126984127
N000009,N008872,0.11887254901960784
N000009,N008892,0.2210242587601078
N000009,N008894,0.21983914209115282
N000009,N008936,0.23324396782841822
N000009,N008937,0.23450134770889489
N000009,N009061,0.11978465679676985
N000009,N009125,0.22493224932249323
N000009,N009211,0.11921458625525946
N000009,N009215,0.11971830985915492
N000009,N009216,0.11971830985915492
N000009,N009362,0.1326530612244898
N000009,N009363,0.1318840579710145
N000009,N009480,0.1076923076923077
N000009,N009537,0.2026315789473684
N000009,N009626,0.24795640326975477
N000009,N009871,0.21693121693121692
N000009,N010229,0.11124260355029586
N000009,N010230,0.21578947368421053
N000009,N010315,0.21693121693121692
N000009,N010455,0.2152230971128609
N000009,N010694,0.232620320855615
N000009,N010748,0.22872340425531915
N000009,N010964,0.1278735632183908
N000009,N011064,0.2452316076294278
N000009,N011200,0.21957671957671956
N000009,N011342,0.21485411140583555
N000009,N011366,0.15734265734265734
N000009,N011367,0.15734265734265734
N000009,N011612,0.22666666666666666
N000009,N011759,0.14502529510961215
N000009,N011760,0.1465076660988075
N000009,N011790,0.22193211488250653
N000009,N011807,0.25205479452054796
N000010,N000011,0.48695652173913045
N000010,N000093,0.30597014925373134
N000010,N000116,0.293569431500466
N000010,N000118,0.2930232558139535
N000010,N000127,0.2724306688417618
N000010,N000128,0.3536723163841808
N000010,N000212,0.36013590033975085
N000010,N000262,0.2618867924528302
N000010,N000572,0.33114035087719296
N000010,N000649,0.2982292637465051
N000010,N000786,0.2821650399290151
N000010,N000810,0.3297985153764581
N000010,N000814,0.3269230769230769
N000010,N000866,0.272648835202761
N000010,N001002,0.3120638085742772
N000010,N001012,0.2575976845151954
N000010,N001087,0.26972624798711753
N000010,N001180,0.26025354213273677
N000010,N001339,0.3414893617021277
N000010,N001375,0.33743016759776534
N000010,N001602,0.3535031847133758
N000010,N001678,0.27258193445243806
N000010,N001716,0.3010156971375808
N000010,N001827,0.27803521779425394
N000010,N001841,0.3123209169054441
N000010,N001842,0.34044823906083244
N000010,N001852,0.31326530612244896
N000010,N001869,0.3361522198731501
N000010,N001929,0.2987267384916748
N000010,N002003,0.34442270058708413
N000010,N002025,0.29520605550883094
N000010,N002026,0.28653061224489795
N000010,N002105,0.3062558356676004
