notice_id,portal_id,configuration,candidate_count
N003498,P026,32x4,2
N003500,P207,32x4,2
N003501,P003,32x4,64
N003503,P092,32x4,0
N003543,P128,32x4,1
N003545,P006,32x4,76
N003555,P002,32x4,212
N003566,P004,32x4,91
N003574,P004,32x4,87
N003582,P001,32x4,202
N003611,P235,32x4,0
N003615,P002,32x4,164
N003630,P109,32x4,0
N003634,P005,32x4,210
N003642,P248,32x4,2
N003644,P005,32x4,22
N003658,P195,32x4,3
N003659,P002,32x4,217
N003661,P044,32x4,3
N003662,P008,32x4,10
N003672,P006,32x4,116
N003674,P004,32x4,2
N003679,P001,32x4,147
N003691,P003,32x4,33
N003701,P094,32x4,0
N003703,P060,32x4,0
N003720,P046,32x4,4
N003729,P044,32x4,6
N003735,P001,32x4,243
N003748,P005,32x4,182
N003751,P006,32x4,61
N003758,P002,32x4,323
N003770,P136,32x4,1
N003781,P099,32x4,1
N003783,P020,32x4,1
N003804,P005,32x4,278
N003813,P219,32x4,0
N003816,P002,32x4,146
N003821,P002,32x4,13
N003823,P001,32x4,226
N003835,P115,32x4,1
N003837,P004,32x4,25
N003845,P111,32x4,1
N003847,P002,32x4,60
N003849,P005,32x4,204
N003854,P232,32x4,0
N003855,P004,32x4,17
N003860,P004,32x4,59
N003863,P006,32x4,41
N003865,P002,32x4,37
N003868,P172,32x4,4
N003883,P006,32x4,51
N003884,P002,32x4,329
N003903,P003,32x4,11
N003908,P020,32x4,0
N003909,P001,32x4,310
N003920,P202,32x4,0
N003939,P116,32x4,0
N003941,P005,32x4,183
N003942,P186,32x4,1
N003947,P240,32x4,1
N003948,P006,32x4,96
N003957,P030,32x4,0
N003982,P005,32x4,125
N003994,P006,32x4,54
N003995,P002,32x4,20
N004001,P004,32x4,53
N004002,P003,32x4,82
N004007,P005,32x4,31
N004013,P002,32x4,275
N004016,P002,32x4,100
N004017,P013,32x4,0
N004023,P234,32x4,0
N004026,P041,32x4,0
N004028,P022,32x4,1
N004043,P006,32x4,87
N004055,P094,32x4,0
N004062,P256,32x4,0
N004065,P004,32x4,23
N004066,P035,32x4,1
N004071,P181,32x4,1
N004072,P150,32x4,1
N004075,P004,32x4,108
N004081,P001,32x4,162
N004084,P006,32x4,89
N004085,P069,32x4,2
N004086,P172,32x4,2
N004094,P015,32x4,0
N004096,P135,32x4,0
N004106,P002,32x4,230
N004107,P006,32x4,118
N004139,P095,32x4,1
N004140,P006,32x4,39
N004151,P002,32x4,225
N004158,P104,32x4,0
N004167,P003,32x4,82
N004168,P001,32x4,146
N004169,P027,32x4,3
N004174,P135,32x4,1
N004177,P240,32x4,1
N004181,P003,32x4,30
N004184,P002,32x4,175
N004186,P004,32x4,128
N004195,P006,32x4,17
N004212,P003,32x4,10
N004216,P050,32x4,2
N004217,P001,32x4,197
N004218,P004,32x4,40
N004220,P006,32x4,36
N004229,P002,32x4,300
N004248,P169,32x4,15
N004269,P245,32x4,7
N004298,P006,32x4,5
N004299,P003,32x4,5
N004306,P044,32x4,2
N004307,P094,32x4,2
N004315,P004,32x4,154
N004323,P061,32x4,0
N004325,P141,32x4,1
N004328,P052,32x4,1
N004333,P208,32x4,0
N004348,P203,32x4,4
N004349,P005,32x4,51
N004353,P078,32x4,2
N004355,P002,32x4,40
N004364,P180,32x4,0
N004369,P089,32x4,0
N004409,P094,32x4,0
N004410,P005,32x4,170
N004413,P002,32x4,256
N004433,P004,32x4,84
N004438,P256,32x4,14
N004442,P094,32x4,1
N004445,P140,32x4,0
N004447,P094,32x4,3
N004449,P221,32x4,11
N004456,P002,32x4,194
N004491,P094,32x4,1
N004492,P002,32x4,29
N004509,P073,32x4,1
N004511,P004,32x4,80
N004522,P005,32x4,273
N004523,P168,32x4,0
N004544,P005,32x4,32
N004549,P003,32x4,16
N004552,P184,32x4,13
N004553,P094,32x4,13
N004563,P004,32x4,9
N004564,P005,32x4,152
N004567,P195,32x4,0
N004578,P006,32x4,82
N004599,P006,32x4,30
N004605,P108,32x4,0
N004629,P003,32x4,93
N004640,P122,32x4,2
N004655,P002,32x4,7
N004657,P004,32x4,140
N004662,P002,32x4,261
N004665,P065,32x4,6
N004672,P001,32x4,265
N004678,P002,32x4,310
N004680,P001,32x4,310
N004683,P004,32x4,109
N004687,P142,32x4,3
N004699,P050,32x4,0
N004708,P005,32x4,95
N004709,P230,32x4,2
N004711,P094,32x4,2
N004729,P004,32x4,84
N004730,P020,32x4,2
N004731,P006,32x4,103
N004742,P068,32x4,2
N004746,P232,32x4,0
N004754,P005,32x4,246
N004757,P054,32x4,1
N004758,P001,32x4,72
N004760,P232,32x4,1
N004762,P005,32x4,50
N004767,P094,32x4,3
N004768,P161,32x4,3
N004781,P011,32x4,5
N004789,P057,32x4,4
N004801,P002,32x4,223
N004802,P028,32x4,1
N004803,P100,32x4,1
N004804,P136,32x4,1
N004822,P002,32x4,15
N004845,P001,32x4,227
N004855,P143,32x4,3
N004856,P001,32x4,269
N004867,P240,32x4,3
N004870,P101,32x4,0
N004877,P143,32x4,0
N004880,P094,32x4,1
N004881,P166,32x4,1
N004906,P182,32x4,0
N004913,P021,32x4,0
N004939,P005,32x4,202
N004944,P002,32x4,32
N004949,P203,32x4,1
N004950,P006,32x4,117
N004951,P003,32x4,3
N004969,P001,32x4,15
N004978,P006,32x4,131
